"AAV2020";"AAV2020lib";"AAV2020libNCC";"TAAV2017";"TAAV2017lib";"TAAV2017libNCC";"TDAAV2017";"TDAAV2017lib";"TDAAV2017libNCC";"NB_COM";"dens3";"REG_dom";"DEP_dom";"DEPshort_dom";"regdep"
"000";"Commune hors attraction des villes";"COMMUNE HORS ATTRACTION DES VILLES";0;"Hors attraction des villes";"HORS ATTRACTION DES VILLES";0;"";"";8897;3;"75";"24";"24-Dor";"NAQ/24-Dor"
"001";"Paris";"PARIS";5;"Aire de Paris";"AIRE DE PARIS";50;"Aire de Paris";"AIRE DE PARIS";1926;1;"11";"77";"77-SeM";"IDF/77-SeM"
"002";"Lyon";"LYON";4;"Aire de 700 000 habitants ou plus (hors Paris)";"AIRE DE 700 000 HABITANTS OU PLUS (HORS PARIS)";42;"Aire de 1 000 000 d'habitants ou plus (hors Paris)";"AIRE DE 1 000 000 D HABITANTS OU PLUS (HORS PARIS)";397;1;"84";"69";"69-Rhô";"ARA/69-Rhô"
"003";"Marseille - Aix-en-Provence";"MARSEILLE AIX EN PROVENCE";4;"Aire de 700 000 habitants ou plus (hors Paris)";"AIRE DE 700 000 HABITANTS OU PLUS (HORS PARIS)";42;"Aire de 1 000 000 d'habitants ou plus (hors Paris)";"AIRE DE 1 000 000 D HABITANTS OU PLUS (HORS PARIS)";115;1;"93";"13";"13-BdR";"PACA/13-BdR"
"004";"Lille (partie française)";"LILLE (PARTIE FRANCAISE)";4;"Aire de 700 000 habitants ou plus (hors Paris)";"AIRE DE 700 000 HABITANTS OU PLUS (HORS PARIS)";42;"Aire de 1 000 000 d'habitants ou plus (hors Paris)";"AIRE DE 1 000 000 D HABITANTS OU PLUS (HORS PARIS)";201;1;"32";"59";"59-Nor";"HDF/59-Nor"
"005";"Toulouse";"TOULOUSE";4;"Aire de 700 000 habitants ou plus (hors Paris)";"AIRE DE 700 000 HABITANTS OU PLUS (HORS PARIS)";42;"Aire de 1 000 000 d'habitants ou plus (hors Paris)";"AIRE DE 1 000 000 D HABITANTS OU PLUS (HORS PARIS)";527;2;"76";"31";"31-HGa";"OCC/31-HGa"
"006";"Bordeaux";"BORDEAUX";4;"Aire de 700 000 habitants ou plus (hors Paris)";"AIRE DE 700 000 HABITANTS OU PLUS (HORS PARIS)";42;"Aire de 1 000 000 d'habitants ou plus (hors Paris)";"AIRE DE 1 000 000 D HABITANTS OU PLUS (HORS PARIS)";275;2;"75";"33";"33-Gir";"NAQ/33-Gir"
"008";"Nantes";"NANTES";4;"Aire de 700 000 habitants ou plus (hors Paris)";"AIRE DE 700 000 HABITANTS OU PLUS (HORS PARIS)";41;"Aire de 700 000 à moins de 1 000 000 d'habitants";"AIRE DE 700 000 A MOINS DE 1 000 000 D HABITANTS";116;2;"52";"44";"44-LoA";"PDL/44-LoA"
"010";"Strasbourg (partie française)";"STRASBOURG (PARTIE FRANCAISE)";4;"Aire de 700 000 habitants ou plus (hors Paris)";"AIRE DE 700 000 HABITANTS OU PLUS (HORS PARIS)";41;"Aire de 700 000 à moins de 1 000 000 d'habitants";"AIRE DE 700 000 A MOINS DE 1 000 000 D HABITANTS";268;2;"44";"67";"67-BRh";"GES/67-BRh"
"012";"Montpellier";"MONTPELLIER";4;"Aire de 700 000 habitants ou plus (hors Paris)";"AIRE DE 700 000 HABITANTS OU PLUS (HORS PARIS)";41;"Aire de 700 000 à moins de 1 000 000 d'habitants";"AIRE DE 700 000 A MOINS DE 1 000 000 D HABITANTS";161;2;"76";"34";"34-Hér";"OCC/34-Hér"
