"BV2022";"BV2022lib";"BV2022libNCC";"DENSBV";"DENSBVlib";"REG_dom";"DEP_dom";"DEPshort_dom";"regdep"
"01004";"Ambérieu-en-Bugey";"AMBERIEU EN BUGEY";3;"Rural";"84";"01";"01-Ain";"ARA/01-Ain"
"01033";"Valserhône";"VALSERHONE";3;"Rural";"84";"01";"01-Ain";"ARA/01-Ain"
"01034";"Belley";"BELLEY";3;"Rural";"84";"01";"01-Ain";"ARA/01-Ain"
"01053";"Bourg-en-Bresse";"BOURG EN BRESSE";2;"Urbain intermédiaire";"84";"01";"01-Ain";"ARA/01-Ain"
"01072";"Ceyzériat";"CEYZERIAT";3;"Rural";"84";"01";"01-Ain";"ARA/01-Ain"
"01093";"Châtillon-sur-Chalaronne";"CHATILLON SUR CHALARONNE";3;"Rural";"84";"01";"01-Ain";"ARA/01-Ain"
"01138";"Culoz-Béon";"CULOZ BEON";3;"Rural";"84";"73";"73-Sav";"ARA/73-Sav"
"01143";"Divonne-les-Bains";"DIVONNE LES BAINS";2;"Urbain intermédiaire";"84";"01";"01-Ain";"ARA/01-Ain"
"01160";"Ferney-Voltaire";"FERNEY VOLTAIRE";2;"Urbain intermédiaire";"84";"01";"01-Ain";"ARA/01-Ain"
"01173";"Gex";"GEX";2;"Urbain intermédiaire";"84";"01";"01-Ain";"ARA/01-Ain"
"01185";"Plateau d'Hauteville";"PLATEAU D HAUTEVILLE";3;"Rural";"84";"01";"01-Ain";"ARA/01-Ain"
"01202";"Lagnieu";"LAGNIEU";2;"Urbain intermédiaire";"84";"01";"01-Ain";"ARA/01-Ain"
"01244";"Meximieux";"MEXIMIEUX";3;"Rural";"84";"01";"01-Ain";"ARA/01-Ain"
"01262";"Montluel";"MONTLUEL";2;"Urbain intermédiaire";"84";"01";"01-Ain";"ARA/01-Ain"
"01265";"Montréal-la-Cluse";"MONTREAL LA CLUSE";3;"Rural";"84";"01";"01-Ain";"ARA/01-Ain"
"01266";"Montrevel-en-Bresse";"MONTREVEL EN BRESSE";3;"Rural";"84";"01";"01-Ain";"ARA/01-Ain"
"01283";"Oyonnax";"OYONNAX";2;"Urbain intermédiaire";"27";"39";"39-Jur";"BFC/39-Jur"
"01304";"Pont-d'Ain";"PONT D AIN";3;"Rural";"84";"01";"01-Ain";"ARA/01-Ain"
"01305";"Pont-de-Vaux";"PONT DE VAUX";3;"Rural";"84";"01";"01-Ain";"ARA/01-Ain"
"01333";"Saint-André-de-Corcy";"SAINT ANDRE DE CORCY";3;"Rural";"84";"01";"01-Ain";"ARA/01-Ain"
"01354";"Saint-Genis-Pouilly";"SAINT GENIS POUILLY";2;"Urbain intermédiaire";"84";"01";"01-Ain";"ARA/01-Ain"
"01443";"Villars-les-Dombes";"VILLARS LES DOMBES";3;"Rural";"84";"01";"01-Ain";"ARA/01-Ain"
"01457";"Vonnas";"VONNAS";3;"Rural";"84";"01";"01-Ain";"ARA/01-Ain"
"02095";"Bohain-en-Vermandois";"BOHAIN EN VERMANDOIS";3;"Rural";"32";"02";"02-Ais";"HDF/02-Ais"
"02163";"Charly-sur-Marne";"CHARLY SUR MARNE";2;"Urbain intermédiaire";"32";"02";"02-Ais";"HDF/02-Ais"
"02168";"Château-Thierry";"CHATEAU THIERRY";2;"Urbain intermédiaire";"32";"02";"02-Ais";"HDF/02-Ais"
"02173";"Chauny";"CHAUNY";3;"Rural";"32";"02";"02-Ais";"HDF/02-Ais"
"02305";"Fère-en-Tardenois";"FERE EN TARDENOIS";3;"Rural";"32";"02";"02-Ais";"HDF/02-Ais"
"02360";"Villeneuve-sur-Aisne";"VILLENEUVE SUR AISNE";3;"Rural";"32";"02";"02-Ais";"HDF/02-Ais"
"02361";"Guise";"GUISE";3;"Rural";"32";"02";"02-Ais";"HDF/02-Ais"
"02381";"Hirson";"HIRSON";3;"Rural";"32";"02";"02-Ais";"HDF/02-Ais"
"02408";"Laon";"LAON";3;"Rural";"32";"02";"02-Ais";"HDF/02-Ais"
"02468";"Marle";"MARLE";3;"Rural";"32";"02";"02-Ais";"HDF/02-Ais"
"02502";"Montcornet";"MONTCORNET";3;"Rural";"32";"02";"02-Ais";"HDF/02-Ais"
"02558";"Le Nouvion-en-Thiérache";"LE NOUVION EN THIERACHE";3;"Rural";"32";"02";"02-Ais";"HDF/02-Ais"
"02691";"Saint-Quentin";"SAINT QUENTIN";2;"Urbain intermédiaire";"32";"02";"02-Ais";"HDF/02-Ais"
"02722";"Soissons";"SOISSONS";2;"Urbain intermédiaire";"32";"02";"02-Ais";"HDF/02-Ais"
"02738";"Tergnier";"TERGNIER";2;"Urbain intermédiaire";"32";"02";"02-Ais";"HDF/02-Ais"
"02789";"Vervins";"VERVINS";3;"Rural";"32";"02";"02-Ais";"HDF/02-Ais"
"02810";"Villers-Cotterêts";"VILLERS COTTERETS";3;"Rural";"32";"02";"02-Ais";"HDF/02-Ais"
"03036";"Bourbon-l'Archambault";"BOURBON L ARCHAMBAULT";3;"Rural";"84";"03";"03-All";"ARA/03-All"
"03082";"Commentry";"COMMENTRY";3;"Rural";"84";"03";"03-All";"ARA/03-All"
"03102";"Dompierre-sur-Besbre";"DOMPIERRE SUR BESBRE";3;"Rural";"84";"03";"03-All";"ARA/03-All"
"03118";"Gannat";"GANNAT";3;"Rural";"84";"03";"03-All";"ARA/03-All"
"03138";"Lapalisse";"LAPALISSE";3;"Rural";"84";"03";"03-All";"ARA/03-All"
"03185";"Montluçon";"MONTLUCON";2;"Urbain intermédiaire";"84";"03";"03-All";"ARA/03-All"
"03186";"Montmarault";"MONTMARAULT";3;"Rural";"84";"03";"03-All";"ARA/03-All"
"03190";"Moulins";"MOULINS";2;"Urbain intermédiaire";"84";"03";"03-All";"ARA/03-All"
