EPCI;EPCI_EPT;EPCI_EPTinc;EPCIlibFull;EPCIlibFullNCC;EPCIlibShort;EPCIlibShortNCC;TYPE_EPCI;TYPE_EPCIlib;METRoff;DENSEPCI;DENSEPCIlib;REG_dom;DEP_dom;DEPshort_dom;regdep
200000172;200000172;0;Communauté de communes Faucigny-Glières;COMMUNAUTE DE COMMUNES FAUCIGNY GLIERES;CC Faucigny-Glières;CC FAUCIGNY-GLIERES;CC;Communauté de communes;0;2;Urbain intermédiaire;84;74;74-HSv;ARA/74-HSv
200000438;200000438;0;Communauté de communes du Pays de Pontchâteau Saint-Gildas-des-Bois;COMMUNAUTE DE COMMUNES DU PAYS DE PONTCHATEAU SAINT GILDAS DES BOIS;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;CC DU PAYS DE PONTCHATEAU SAINT-GILDAS-DES-BOIS;CC;Communauté de communes;0;3;Rural;52;44;44-LoA;PDL/44-LoA
200000545;200000545;0;Communauté de communes des Portes de Romilly-sur-Seine;COMMUNAUTE DE COMMUNES DES PORTES DE ROMILLY SUR SEINE;CC des Portes de Romilly-sur-Seine;CC DES PORTES DE ROMILLY-SUR-SEINE;CC;Communauté de communes;0;2;Urbain intermédiaire;44;10;10-Aub;GES/10-Aub
200000628;200000628;0;Communauté de communes Rhône Lez Provence;COMMUNAUTE DE COMMUNES RHONE LEZ PROVENCE;CC Rhône Lez Provence;CC RHONE LEZ PROVENCE;CC;Communauté de communes;0;3;Rural;93;84;84-Vau;PACA/84-Vau
200000800;200000800;0;Communauté de communes Cœur de Sologne;COMMUNAUTE DE COMMUNES CŒUR DE SOLOGNE;CC Cœur de Sologne;CC CŒUR DE SOLOGNE;CC;Communauté de communes;0;3;Rural;24;41;41-LeC;CVL/41-LeC
200000925;200000925;0;Communauté de communes de la Plaine Dijonnaise;COMMUNAUTE DE COMMUNES DE LA PLAINE DIJONNAISE;CC de la Plaine Dijonnaise;CC DE LA PLAINE DIJONNAISE;CC;Communauté de communes;0;3;Rural;27;21;21-CdO;BFC/21-CdO
200000933;200000933;0;Communauté de communes Sauldre et Sologne;COMMUNAUTE DE COMMUNES SAULDRE ET SOLOGNE;CC Sauldre et Sologne;CC SAULDRE ET SOLOGNE;CC;Communauté de communes;0;3;Rural;24;18;18-Che;CVL/18-Che
200004802;200004802;0;Communauté de communes du Pays de Fayence;COMMUNAUTE DE COMMUNES DU PAYS DE FAYENCE;CC du Pays de Fayence;CC DU PAYS DE FAYENCE;CC;Communauté de communes;0;3;Rural;93;83;83-Var;PACA/83-Var
200005932;200005932;0;Communauté de communes des Portes de Sologne;COMMUNAUTE DE COMMUNES DES PORTES DE SOLOGNE;CC des Portes de Sologne;CC DES PORTES DE SOLOGNE;CC;Communauté de communes;0;3;Rural;24;45;45-Lot;CVL/45-Lot
200005957;200005957;0;Communauté de communes de la Région de Rambervillers;COMMUNAUTE DE COMMUNES DE LA REGION DE RAMBERVILLERS;CC de la Région de Rambervillers;CC DE LA REGION DE RAMBERVILLERS;CC;Communauté de communes;0;3;Rural;44;88;88-Vos;GES/88-Vos
200006682;200006682;0;Communauté d'agglomération Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;COMMUNAUTE D AGGLOMERATION BEAUNE, COTE ET SUD COMMUNAUTE BEAUNE CHAGNY NOLAY;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;CA BEAUNE, COTE ET SUD - COMMUNAUTE BEAUNE-CHAGNY-NOLAY;CA;Communauté d'agglomération;0;3;Rural;27;21;21-CdO;BFC/21-CdO
200006716;200006716;0;Communauté de communes du Nogentais;COMMUNAUTE DE COMMUNES DU NOGENTAIS;CC du Nogentais;CC DU NOGENTAIS;CC;Communauté de communes;0;3;Rural;44;10;10-Aub;GES/10-Aub
200006930;200006930;0;Communauté de communes du Haut Allier Margeride;COMMUNAUTE DE COMMUNES DU HAUT ALLIER MARGERIDE;CC du Haut Allier Margeride;CC DU HAUT ALLIER MARGERIDE;CC;Communauté de communes;0;3;Rural;76;48;48-Loz;OCC/48-Loz
200006971;200006971;0;Communauté de communes du Perche;COMMUNAUTE DE COMMUNES DU PERCHE;CC du Perche;CC DU PERCHE;CC;Communauté de communes;0;3;Rural;24;28;28-EeL;CVL/28-EeL
200007052;200007052;0;Communauté de communes de la Marche Berrichonne;COMMUNAUTE DE COMMUNES DE LA MARCHE BERRICHONNE;CC de la Marche Berrichonne;CC DE LA MARCHE BERRICHONNE;CC;Communauté de communes;0;3;Rural;24;36;36-Ind;CVL/36-Ind
200007177;200007177;0;Communauté de communes Pays de Nérondes;COMMUNAUTE DE COMMUNES PAYS DE NERONDES;CC Pays de Nérondes;CC PAYS DE NERONDES;CC;Communauté de communes;0;3;Rural;24;18;18-Che;CVL/18-Che
200010650;200010650;0;Communauté d'agglomération du Grand Dole;COMMUNAUTE D AGGLOMERATION DU GRAND DOLE;CA du Grand Dole;CA DU GRAND DOLE;CA;Communauté d'agglomération;0;2;Urbain intermédiaire;27;39;39-Jur;BFC/39-Jur
200010700;200010700;0;Communauté d'agglomération Caux Seine Agglo;COMMUNAUTE D AGGLOMERATION CAUX SEINE AGGLO;CA Caux Seine Agglo;CA CAUX SEINE AGGLO;CA;Communauté d'agglomération;0;3;Rural;28;76;76-SMa;NOR/76-SMa
200011773;200011773;0;Communauté d'agglomération Annemasse-Les Voirons-Agglomération;COMMUNAUTE D AGGLOMERATION ANNEMASSE LES VOIRONS AGGLOMERATION;CA Annemasse-Les Voirons-Agglomération;CA ANNEMASSE-LES VOIRONS-AGGLOMERATION;CA;Communauté d'agglomération;0;1;Urbain dense;84;74;74-HSv;ARA/74-HSv
200011781;200011781;0;Communauté de communes Portes du Berry entre Loire et Val d'Aubois;COMMUNAUTE DE COMMUNES PORTES DU BERRY ENTRE LOIRE ET VAL D AUBOIS;CC Portes du Berry entre Loire et Val d'Aubois;CC PORTES DU BERRY ENTRE LOIRE ET VAL D'AUBOIS;CC;Communauté de communes;0;3;Rural;24;18;18-Che;CVL/18-Che
200013050;200013050;0;Communauté de communes Sauer-Pechelbronn;COMMUNAUTE DE COMMUNES SAUER PECHELBRONN;CC Sauer-Pechelbronn;CC SAUER-PECHELBRONN;CC;Communauté de communes;0;3;Rural;44;67;67-BRh;GES/67-BRh
200015162;200015162;0;Communauté de communes de l'Oriente;COMMUNAUTE DE COMMUNES DE L ORIENTE;CC de l'Oriente;CC DE L'ORIENTE;CC;Communauté de communes;0;3;Rural;94;2B;2B-HCo;COR/2B-HCo
200016905;200016905;0;Communauté de communes du Pays de Lamastre;COMMUNAUTE DE COMMUNES DU PAYS DE LAMASTRE;CC du Pays de Lamastre;CC DU PAYS DE LAMASTRE;CC;Communauté de communes;0;3;Rural;84;07;07-Ard;ARA/07-Ard
200017341;200017341;0;Communauté de communes Lodévois et Larzac;COMMUNAUTE DE COMMUNES LODEVOIS ET LARZAC;CC Lodévois et Larzac;CC LODEVOIS ET LARZAC;CC;Communauté de communes;0;3;Rural;76;34;34-Hér;OCC/34-Hér
200017846;200017846;0;Communauté d'agglomération Étampois Sud Essonne;COMMUNAUTE D AGGLOMERATION ETAMPOIS SUD ESSONNE;CA Étampois Sud Essonne;CA ETAMPOIS SUD ESSONNE;CA;Communauté d'agglomération;0;2;Urbain intermédiaire;11;91;91-Ess;IDF/91-Ess
200018083;200018083;0;Communauté de communes de Desvres-Samer;COMMUNAUTE DE COMMUNES DE DESVRES SAMER;CC de Desvres-Samer;CC DE DESVRES-SAMER;CC;Communauté de communes;0;3;Rural;32;62;62-PdC;HDF/62-PdC
200018166;200018166;0;Communauté de communes Le Grésivaudan;COMMUNAUTE DE COMMUNES LE GRESIVAUDAN;CC Le Grésivaudan;CC LE GRESIVAUDAN;CC;Communauté de communes;0;2;Urbain intermédiaire;84;38;38-Isè;ARA/38-Isè
200018406;200018406;0;Communauté de communes du Romorantinais et du Monestois;COMMUNAUTE DE COMMUNES DU ROMORANTINAIS ET DU MONESTOIS;CC du Romorantinais et du Monestois;CC DU ROMORANTINAIS ET DU MONESTOIS;CC;Communauté de communes;0;2;Urbain intermédiaire;24;41;41-LeC;CVL/41-LeC
200018521;200018521;0;Communauté de communes du Val de Bouzanne;COMMUNAUTE DE COMMUNES DU VAL DE BOUZANNE;CC du Val de Bouzanne;CC DU VAL DE BOUZANNE;CC;Communauté de communes;0;3;Rural;24;36;36-Ind;CVL/36-Ind
200018653;200018653;0;Communauté d'agglomération Cap Excellence;COMMUNAUTE D AGGLOMERATION CAP EXCELLENCE;CA Cap Excellence;CA CAP EXCELLENCE;CA;Communauté d'agglomération;0;2;Urbain intermédiaire;1;971;971-Gua;GUA/971-Gua
200022986;200022986;0;Communauté de communes du Grand Pic Saint-Loup;COMMUNAUTE DE COMMUNES DU GRAND PIC SAINT LOUP;CC du Grand Pic Saint-Loup;CC DU GRAND PIC SAINT-LOUP;CC;Communauté de communes;0;3;Rural;76;34;34-Hér;OCC/34-Hér
200023075;200023075;0;Communauté de communes du Pays de Maîche;COMMUNAUTE DE COMMUNES DU PAYS DE MAICHE;CC du Pays de Maîche;CC DU PAYS DE MAICHE;CC;Communauté de communes;0;3;Rural;27;25;25-Dou;BFC/25-Dou
200023125;200023125;0;Communauté de communes Les Portes Briardes entre Villes et Forêts;COMMUNAUTE DE COMMUNES LES PORTES BRIARDES ENTRE VILLES ET FORETS;CC Les Portes Briardes entre Villes et Forêts;CC LES PORTES BRIARDES ENTRE VILLES ET FORETS;CC;Communauté de communes;0;2;Urbain intermédiaire;11;77;77-SeM;IDF/77-SeM
200023240;200023240;0;Communauté de communes Pays de Nemours;COMMUNAUTE DE COMMUNES PAYS DE NEMOURS;CC Pays de Nemours;CC PAYS DE NEMOURS;CC;Communauté de communes;0;2;Urbain intermédiaire;11;77;77-SeM;IDF/77-SeM
200023299;200023299;0;Communauté de communes Cœur de Tarentaise;COMMUNAUTE DE COMMUNES CŒUR DE TARENTAISE;CC Cœur de Tarentaise;CC CŒUR DE TARENTAISE;CC;Communauté de communes;0;3;Rural;84;73;73-Sav;ARA/73-Sav
200023307;200023307;0;Communauté d'agglomération du Grand Villeneuvois;COMMUNAUTE D AGGLOMERATION DU GRAND VILLENEUVOIS;CA du Grand Villeneuvois;CA DU GRAND VILLENEUVOIS;CA;Communauté d'agglomération;0;3;Rural;75;47;47-LeG;NAQ/47-LeG
200023372;200023372;0;Communauté de communes de la Vallée de Chamonix-Mont-Blanc;COMMUNAUTE DE COMMUNES DE LA VALLEE DE CHAMONIX MONT BLANC;CC de la Vallée de Chamonix-Mont-Blanc;CC DE LA VALLEE DE CHAMONIX-MONT-BLANC;CC;Communauté de communes;0;2;Urbain intermédiaire;84;74;74-HSv;ARA/74-HSv
200023414;200023414;0;Métropole Rouen Normandie;METROPOLE ROUEN NORMANDIE;MET Rouen Normandie;MET ROUEN NORMANDIE;MET;Métropole;1;1;Urbain dense;28;76;76-SMa;NOR/76-SMa
200023620;200023620;0;Communauté de communes de la Gascogne Toulousaine;COMMUNAUTE DE COMMUNES DE LA GASCOGNE TOULOUSAINE;CC de la Gascogne Toulousaine;CC DE LA GASCOGNE TOULOUSAINE;CC;Communauté de communes;0;3;Rural;76;32;32-Ger;OCC/32-Ger
200023737;200023737;0;Communauté d'agglomération du Grand Cahors;COMMUNAUTE D AGGLOMERATION DU GRAND CAHORS;CA du Grand Cahors;CA DU GRAND CAHORS;CA;Communauté d'agglomération;0;3;Rural;76;46;46-Lot;OCC/46-Lot
200023778;200023778;0;Communauté d'agglomération du Pays de Saint-Gilles-Croix-de-Vie;COMMUNAUTE D AGGLOMERATION DU PAYS DE SAINT GILLES CROIX DE VIE;CA du Pays de Saint-Gilles-Croix-de-Vie;CA DU PAYS DE SAINT-GILLES-CROIX-DE-VIE;CA;Communauté d'agglomération;0;3;Rural;52;85;85-Ven;PDL/85-Ven
200023794;200023794;0;Communauté de communes de Blaye;COMMUNAUTE DE COMMUNES DE BLAYE;CC de Blaye;CC DE BLAYE;CC;Communauté de communes;0;3;Rural;75;33;33-Gir;NAQ/33-Gir
200023919;200023919;0;Communauté de communes Gâtinais Val de Loing;COMMUNAUTE DE COMMUNES GATINAIS VAL DE LOING;CC Gâtinais Val de Loing;CC GATINAIS VAL DE LOING;CC;Communauté de communes;0;3;Rural;11;77;77-SeM;IDF/77-SeM
200026573;200026573;0;Communauté de communes Haut-Jura Saint-Claude;COMMUNAUTE DE COMMUNES HAUT JURA SAINT CLAUDE;CC Haut-Jura Saint-Claude;CC HAUT-JURA SAINT-CLAUDE;CC;Communauté de communes;0;3;Rural;27;39;39-Jur;BFC/39-Jur
200027027;200027027;0;Communauté de communes Arc Sud Bretagne;COMMUNAUTE DE COMMUNES ARC SUD BRETAGNE;CC Arc Sud Bretagne;CC ARC SUD BRETAGNE;CC;Communauté de communes;0;3;Rural;53;56;56-Mor;BRE/56-Mor
