"UU2020";"UU2020lib";"TUU2017";"TDUU2017";"TYPE_UU2020";"NB_COM";"UU2020libNCC";"REG_dom";"DEP_dom";"DEPshort_dom";"regdep"
"00151";"Lécluse";1;11;3;2;"LECLUSE";"32";"59";"59-Nor";"HDF/59-Nor"
"00152";"Olonzac";1;11;3;2;"OLONZAC";"76";"11";"11-Aud";"OCC/11-Aud"
"00153";"Cussey-sur-l'Ognon";1;11;3;3;"CUSSEY SUR L OGNON";"27";"70";"70-HSa";"BFC/70-HSa"
"00154";"Aumale";1;11;4;2;"AUMALE";"32";"60";"60-Ois";"HDF/60-Ois"
"00155";"Gouy-sous-Bellonne";1;11;3;2;"GOUY SOUS BELLONNE";"32";"59";"59-Nor";"HDF/59-Nor"
"00156";"Bessé-sur-Braye";1;12;4;2;"BESSE SUR BRAYE";"24";"41";"41-LeC";"CVL/41-LeC"
"00157";"Incheville";1;13;4;3;"INCHEVILLE";"32";"80";"80-Som";"HDF/80-Som"
"00158";"Gamaches";1;13;4;2;"GAMACHES";"28";"76";"76-SMa";"NOR/76-SMa"
"00159";"Entre-deux-Guiers";1;13;3;3;"ENTRE DEUX GUIERS";"84";"73";"73-Sav";"ARA/73-Sav"
"00160";"Sablons";1;13;3;2;"SABLONS";"84";"07";"07-Ard";"ARA/07-Ard"
"00161";"Arleux";1;13;3;2;"ARLEUX";"32";"59";"59-Nor";"HDF/59-Nor"
"00162";"Blangy-sur-Bresle";1;13;4;2;"BLANGY SUR BRESLE";"28";"76";"76-SMa";"NOR/76-SMa"
"00163";"Vayrac";1;14;4;6;"VAYRAC";"76";"46";"46-Lot";"OCC/46-Lot"
"00164";"Saint-Georges-sur-Cher";1;14;3;3;"SAINT GEORGES SUR CHER";"24";"41";"41-LeC";"CVL/41-LeC"
"00165";"Seyssel";1;14;3;3;"SEYSSEL";"84";"01";"01-Ain";"ARA/01-Ain"
"00166";"Saint-Ouen-de-Thouberville";1;14;3;4;"SAINT OUEN DE THOUBERVILLE";"28";"27";"27-Eur";"NOR/27-Eur"
"00167";"Châtenois-les-Forges";1;14;3;3;"CHATENOIS LES FORGES";"27";"90";"90-TdB";"BFC/90-TdB"
"00251";"Pontacq";2;21;4;5;"PONTACQ";"75";"64";"64-PyA";"NAQ/64-PyA"
"00252";"Plestin-les-Grèves";2;21;3;2;"PLESTIN LES GREVES";"53";"22";"22-CdA";"BRE/22-CdA"
"00253";"Ivry-la-Bataille";2;21;4;3;"IVRY LA BATAILLE";"24";"28";"28-EeL";"CVL/28-EeL"
"00254";"Montréjeau";2;21;3;5;"MONTREJEAU";"76";"31";"31-HGa";"OCC/31-HGa"
"00255";"Descartes";2;21;4;3;"DESCARTES";"24";"37";"37-IeL";"CVL/37-IeL"
"00256";"Chazelles-sur-Lyon";2;21;3;2;"CHAZELLES SUR LYON";"84";"42";"42-Loi";"ARA/42-Loi"
"00257";"Chauffailles";2;21;4;5;"CHAUFFAILLES";"27";"71";"71-SeL";"BFC/71-SeL"
"00258";"Chagny";2;21;3;2;"CHAGNY";"27";"21";"21-CdO";"BFC/21-CdO"
"00259";"Castillon-la-Bataille";2;21;3;4;"CASTILLON LA BATAILLE";"75";"33";"33-Gir";"NAQ/33-Gir"
