"ZE2020";"ZE2020lib";"NB_COM";"ZE2020libNCC";"dens3";"REG_dom";"DEP_dom";"DEPshort_dom";"regdep"
"51";"Alençon";184;"ALENCON";3;"28";"61";"61-Orn";"NOR/61-Orn"
"52";"Arles";20;"ARLES";2;"93";"13";"13-BdR";"PACA/13-BdR"
"53";"Avignon";36;"AVIGNON";2;"76";"30";"30-Gar";"OCC/30-Gar"
"54";"Beauvais";327;"BEAUVAIS";3;"32";"60";"60-Ois";"HDF/60-Ois"
"55";"Bollène-Pierrelatte";29;"BOLLENE PIERRELATTE";2;"84";"26";"26-Drô";"ARA/26-Drô"
"56";"Cosne-Cours-sur-Loire";119;"COSNE COURS SUR LOIRE";3;"27";"58";"58-Niè";"BFC/58-Niè"
"57";"Dreux";115;"DREUX";3;"24";"28";"28-EeL";"CVL/28-EeL"
"58";"La Vallée de la Bresle-Vimeu";93;"LA VALLEE DE LA BRESLE VIMEU";3;"28";"76";"76-SMa";"NOR/76-SMa"
"59";"Mâcon";159;"MACON";3;"27";"71";"71-SeL";"BFC/71-SeL"
"60";"Nevers";180;"NEVERS";3;"27";"58";"58-Niè";"BFC/58-Niè"
"61";"Nogent-le-Rotrou";82;"NOGENT LE ROTROU";3;"24";"28";"28-EeL";"CVL/28-EeL"
"62";"Redon";43;"REDON";3;"53";"56";"56-Mor";"BRE/56-Mor"
"63";"Ussel";186;"USSEL";3;"75";"19";"19-Cor";"NAQ/19-Cor"
"64";"Valréas";114;"VALREAS";3;"84";"26";"26-Drô";"ARA/26-Drô"
"101";"Côte sous le vent";3;"COTE SOUS LE VENT";3;"1";"971";"971-Gua";"GUA/971-Gua"
"102";"Est Grande Terre";6;"EST GRANDE TERRE";3;"1";"971";"971-Gua";"GUA/971-Gua"
"103";"Marie-Galante";3;"MARIE GALANTE";3;"1";"971";"971-Gua";"GUA/971-Gua"
"104";"Région Pointoise";10;"REGION POINTOISE";2;"1";"971";"971-Gua";"GUA/971-Gua"
"105";"Sud Basse-Terre";10;"SUD BASSE TERRE";2;"1";"971";"971-Gua";"GUA/971-Gua"
"201";"Le Centre-Atlantique";4;"LE CENTRE ATLANTIQUE";2;"2";"972";"972-Mar";"MAR/972-Mar"
"202";"Le Centre agglomération";4;"LE CENTRE AGGLOMERATION";1;"2";"972";"972-Mar";"MAR/972-Mar"
"203";"Le Nord-Atlantique";6;"LE NORD ATLANTIQUE";3;"2";"972";"972-Mar";"MAR/972-Mar"
"204";"Le Nord-Caraibe";8;"LE NORD CARAIBE";3;"2";"972";"972-Mar";"MAR/972-Mar"
"205";"Le Sud";5;"LE SUD";3;"2";"972";"972-Mar";"MAR/972-Mar"
"206";"Le Sud-Caraibe";7;"LE SUD CARAIBE";2;"2";"972";"972-Mar";"MAR/972-Mar"
"301";"Est-littoral";10;"EST LITTORAL";2;"3";"973";"973-Guy";"GUY/973-Guy"
"302";"Ouest-Guyanais";8;"OUEST GUYANAIS";3;"3";"973";"973-Guy";"GUY/973-Guy"
"303";"Savanes";4;"SAVANES";2;"3";"973";"973-Guy";"GUY/973-Guy"
"401";"L'Est";6;"L EST";2;"4";"974";"974-Réu";"REU/974-Réu"
"402";"L'Ouest";5;"L OUEST";2;"4";"974";"974-Réu";"REU/974-Réu"
"403";"Le Nord";3;"LE NORD";1;"4";"974";"974-Réu";"REU/974-Réu"
"404";"Le Sud";10;"LE SUD";2;"4";"974";"974-Réu";"REU/974-Réu"
"601";"Mayotte";17;"MAYOTTE";2;"6";"976";"976-May";"MAY/976-May"
"1101";"Cergy-Vexin";120;"CERGY VEXIN";1;"11";"95";"95-VdO";"IDF/95-VdO"
"1102";"Coulommiers";54;"COULOMMIERS";3;"11";"77";"77-SeM";"IDF/77-SeM"
"1103";"Étampes";64;"ETAMPES";2;"11";"91";"91-Ess";"IDF/91-Ess"
"1104";"Évry-Courcouronnes";68;"EVRY COURCOURONNES";1;"11";"91";"91-Ess";"IDF/91-Ess"
"1105";"Fontainebleau-Nemours";106;"FONTAINEBLEAU NEMOURS";2;"11";"77";"77-SeM";"IDF/77-SeM"
"1106";"Marne-la-Vallée";69;"MARNE LA VALLEE";2;"11";"77";"77-SeM";"IDF/77-SeM"
"1107";"Meaux";102;"MEAUX";2;"11";"77";"77-SeM";"IDF/77-SeM"
"1108";"Melun";71;"MELUN";2;"11";"77";"77-SeM";"IDF/77-SeM"
"1109";"Paris";122;"PARIS";1;"11";"94";"94-VdM";"IDF/94-VdM"
"1110";"Provins";81;"PROVINS";3;"11";"77";"77-SeM";"IDF/77-SeM"
"1111";"Rambouillet";36;"RAMBOUILLET";2;"11";"78";"78-Yve";"IDF/78-Yve"
"1112";"Roissy";87;"ROISSY";1;"11";"95";"95-VdO";"IDF/95-VdO"
"1113";"Saclay";62;"SACLAY";1;"11";"91";"91-Ess";"IDF/91-Ess"
"1114";"Seine-Yvelinoise";121;"SEINE YVELINOISE";1;"11";"78";"78-Yve";"IDF/78-Yve"
"1115";"Versailles-Saint-Quentin";103;"VERSAILLES SAINT QUENTIN";1;"11";"78";"78-Yve";"IDF/78-Yve"
"2401";"Blois";104;"BLOIS";3;"24";"41";"41-LeC";"CVL/41-LeC"
"2402";"Bourges";170;"BOURGES";3;"24";"18";"18-Che";"CVL/18-Che"
"2403";"Chartres";150;"CHARTRES";2;"24";"28";"28-EeL";"CVL/28-EeL"
"2404";"Châteaudun";63;"CHATEAUDUN";3;"24";"28";"28-EeL";"CVL/28-EeL"
"2405";"Châteauroux";213;"CHATEAUROUX";3;"24";"36";"36-Ind";"CVL/36-Ind"
"2406";"Chinon";42;"CHINON";3;"24";"37";"37-IeL";"CVL/37-IeL"
"2407";"Gien";67;"GIEN";3;"24";"45";"45-Lot";"CVL/45-Lot"
"2408";"Loches";78;"LOCHES";3;"24";"37";"37-IeL";"CVL/37-IeL"
"2409";"Montargis";96;"MONTARGIS";3;"24";"45";"45-Lot";"CVL/45-Lot"
"2410";"Orléans";133;"ORLEANS";2;"24";"45";"45-Lot";"CVL/45-Lot"
"2411";"Pithiviers";78;"PITHIVIERS";3;"24";"45";"45-Lot";"CVL/45-Lot"
"2412";"Romorantin-Lanthenay";70;"ROMORANTIN LANTHENAY";3;"24";"41";"41-LeC";"CVL/41-LeC"
"2413";"Tours";166;"TOURS";2;"24";"37";"37-IeL";"CVL/37-IeL"
"2414";"Vendôme";89;"VENDOME";3;"24";"41";"41-LeC";"CVL/41-LeC"
"2415";"Vierzon";28;"VIERZON";2;"24";"18";"18-Che";"CVL/18-Che"
"2701";"Autun";66;"AUTUN";3;"27";"71";"71-SeL";"BFC/71-SeL"
"2702";"Auxerre";211;"AUXERRE";3;"27";"89";"89-Yon";"BFC/89-Yon"
"2703";"Avallon";172;"AVALLON";3;"27";"89";"89-Yon";"BFC/89-Yon"
"2704";"Beaune";143;"BEAUNE";3;"27";"21";"21-CdO";"BFC/21-CdO"
"2705";"Belfort";164;"BELFORT";2;"27";"90";"90-TdB";"BFC/90-TdB"
"2706";"Besançon";408;"BESANCON";2;"27";"25";"25-Dou";"BFC/25-Dou"
"2707";"Chalon-sur-Saône";133;"CHALON SUR SAONE";3;"27";"71";"71-SeL";"BFC/71-SeL"
"2708";"Charolais";132;"CHAROLAIS";3;"27";"71";"71-SeL";"BFC/71-SeL"
"2709";"Châtillon-Montbard";233;"CHATILLON MONTBARD";3;"27";"21";"21-CdO";"BFC/21-CdO"
"2710";"Creusot-Montceau";57;"CREUSOT MONTCEAU";2;"27";"71";"71-SeL";"BFC/71-SeL"
"2711";"Dijon";322;"DIJON";2;"27";"21";"21-CdO";"BFC/21-CdO"
